"filename", "language", "Dart", "Todo", "comment", "blank", "total"
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\events\shared\representation\components\event_name_rating_and_location.dart", "Dart", 67, 0, 3, 5, 75
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\events\shared\representation\components\event_rate.dart", "Dart", 57, 0, 0, 5, 62
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\events\shared\representation\components\event_ratings.dart", "Dart", 181, 0, 2, 5, 188
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\events\shared\representation\components\event_time_picker.dart", "Dart", 165, 0, 2, 7, 174
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\events\shared\representation\components\events_app_bar.dart", "Dart", 89, 0, 1, 5, 95
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\events\shared\representation\components\events_search_bar.dart", "Dart", 35, 0, 0, 4, 39
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\events\shared\representation\pages\cashout_modal_sheet.dart", "Dart", 241, 0, 0, 4, 245
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\events\weddings\representation\components\details\venue_credit_card_card.dart", "Dart", 85, 0, 0, 4, 89
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\events\weddings\representation\components\details\venue_payment_card.dart", "Dart", 62, 0, 0, 4, 66
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\events\weddings\representation\components\details\venue_people_slider.dart", "Dart", 154, 0, 2, 4, 160
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\events\weddings\representation\components\drink_card.dart", "Dart", 172, 0, 0, 4, 176
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\events\weddings\representation\components\empty_card.dart", "Dart", 31, 0, 1, 3, 35
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\events\weddings\representation\components\error_venues.dart", "Dart", 37, 0, 0, 4, 41
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\events\weddings\representation\components\meal_card.dart", "Dart", 172, 0, 1, 4, 177
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\events\weddings\representation\components\no_venues.dart", "Dart", 39, 0, 0, 4, 43
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\events\weddings\representation\components\venue_card.dart", "Dart", 200, 0, 6, 4, 210
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\events\weddings\representation\components\venue_search_delegate.dart", "Dart", 548, 0, 0, 24, 572
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\events\weddings\representation\components\venues_list_loading.dart", "Dart", 31, 0, 0, 3, 34
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\events\weddings\representation\cubits\single venue\single_wedding_venue_cubit.dart", "Dart", 112, 0, 11, 22, 145
